PASILLO,UBICACION,CODIGO,DESCRIPCION,CANTIDAD,FECHA,Index
A,"A1,11",,"",,,185
A,"A1,11",,"",,,186
A,"A1,11",,"",,,187
A,"A1,11",,"",,,188
A,"A1,11",,"",,,189
A,"A1,11",,"",,,190
A,"A1,11",,"",,,191
A,"A1,11",,"",,,192
A,"A1,11",,"",,,193
A,"A1,11",,"",,,194
A,"A1,11",,"",,,195
A,"A1,11",,"",,,196
A,"A1,11",,"",,,197
A,"A1,11",,"",,,198
A,"A1,12",,"",,,199
A,"A1,12",,"",,,200
A,"A1,12",,"",,,201
A,"A1,12",,"",,,202
A,"A1,12",,"",,,203
A,"A1,12",,"",,,204
A,"A1,12",,"",,,205
A,"A1,12",,"",,,206
A,"A1,12",,"",,,207
A,"A1,12",,"",,,208
A,"A1,12",,"",,,209
A,"A1,12",,"",,,210
A,"A1,12",,"",,,211
A,"A1,12",,"",,,212
A,"A1,12",,"",,,213
A,"A1,12",,"",,,214
A,"A1,12",,"",,,215
A,"A1,12",,"",,,216
A,"A1,13",,"",,,217
A,"A1,13",,"",,,218
A,"A1,13",,"",,,219
A,"A1,13",,"",,,220
A,"A1,13",,"",,,221
A,"A1,13",,"",,,222
A,"A1,13",,"",,,223
A,"A1,13",,"",,,224
A,"A1,13",,"",,,225
A,"A1,13",,"",,,226
A,"A1,13",,"",,,227
A,"A1,13",,"",,,228
A,"A1,13",,"",,,229
A,"A1,13",,"",,,230
A,"A1,13",,"",,,231
A,"A1,13",,"",,,232
A,"A1,13",,"",,,233
A,"A1,13",,"",,,234
A,"A1,14",4102008/03,CAJA 18 POTE /BOL LICOR-PALMESANO-2024,"775,0",06/09/2024,235
A,"A1,14",,"",,,236
A,"A1,14",,"",,,237
A,"A1,14",,"",,,238
A,"A1,14",,"",,,239
A,"A1,14",,"",,,240
A,"A1,14",,"",,,241
A,"A1,14",,"",,,242
A,"A1,14",,"",,,243
A,"A1,14",,"",,,244
A,"A1,14",,"",,,245
A,"A1,14",,"",,,246
A,"A1,14",,"",,,247
A,"A1,14",,"",,,248
A,"A1,14",,"",,,249
A,"A1,14",,"",,,250
A,"A1,14",,"",,,251
A,"A1,14",,"",,,252
A,"A1,15",4401437,CCC TORTA  ALM BARILOCHE IN 16050,"846,0",28/06/2024,253
A,"A1,15",,"",,,254
A,"A1,15",,"",,,255
A,"A1,15",,"",,,256
A,"A1,15",,"",,,257
A,"A1,15",,"",,,258
A,"A1,15",,"",,,259
A,"A1,15",,"",,,260
A,"A1,15",,"",,,261
A,"A1,15",,"",,,262
A,"A1,15",,"",,,263
A,"A1,15",,"",,,264
A,"A1,15",,"",,,265
A,"A1,15",,"",,,266
A,"A1,15",,"",,,267
A,"A1,15",,"",,,268
A,"A1,15",,"",,,269
A,"A1,15",,"",,,270
A,"A1,16",4401599,ESTUCHE  BOMB.RAMA BARILOCHE X 150GR,"3916,0",12/08/2024,271
A,"A1,16",4401600,ESTUCHE  BOMB. RAMA BARILOCHEX 300GR,"864,0",12/08/2024,272
A,"A1,16",4401680,INTERIOR BOMBONERA RAMA X 150G BCHE-2023,"130,0",12/08/2024,273
A,"A1,16",,"",,,274
A,"A1,16",,"",,,275
A,"A1,16",,"",,,276
A,"A1,16",,"",,,277
A,"A1,16",,"",,,278
A,"A1,16",,"",,,279
A,"A1,16",,"",,,280
A,"A1,16",,"",,,281
A,"A1,16",,"",,,282
A,"A1,16",,"",,,283
A,"A1,16",,"",,,284
A,"A1,16",,"",,,285
A,"A1,16",,"",,,286
A,"A1,16",,"",,,287
A,"A1,16",,"",,,288
A,"A1,17",4401785,DISPLAY BOMBON WHISKY - BARILOCHE - 2023,"418,0",12/08/2024,289
A,"A1,17",4401783,DISPLAY BARILOCHITO TRADICIONAL - BCHE - 2023,"3595,0",12/08/2024,290
